FileName, CommitSha
myanalytic rule.json,0268009edfa12b31b4f9cbe90ab93c1f2ae67fd3
test rule 01.json,1e5380b6f16535d06b3c234851534ce7032537f7
Analytic_morethan5signins.json,54272b0286a809ade93619c38c1c576e282d35b7
